Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
As a project manager, I want to prioritize page layout and UI interface to be clear and concise so that we don't ironically make the job search more overwhelming	https://github.com/COS420-F25/TeamA/issues/42	Todo / Sprint Backlog	High				bdube21, brendonprice, DeveauJoshua2002					D2	
Use Case Descriptions 1-3	https://github.com/COS420-F25/TeamA/issues/63	Todo / Sprint Backlog					AlexN-H					D2	D2 Quality Checking Milestone
Use Case Descriptions 4-6	https://github.com/COS420-F25/TeamA/issues/64	Todo / Sprint Backlog					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Use Case Descriptions 7-9	https://github.com/COS420-F25/TeamA/issues/65	Todo / Sprint Backlog					brendonprice					D2	D2 Quality Checking Milestone
Use Case Description 10-12	https://github.com/COS420-F25/TeamA/issues/66	Todo / Sprint Backlog					bdube21					D2	D2 Milestone
Use Case Diagram 1	https://github.com/COS420-F25/TeamA/issues/67	Todo / Sprint Backlog					brendonprice					D2	D2 Quality Checking Milestone
Use Case Diagram 2	https://github.com/COS420-F25/TeamA/issues/68	Todo / Sprint Backlog					AlexN-H					D2	D2 Quality Checking Milestone
Architecture Design Diagram	https://github.com/COS420-F25/TeamA/issues/69	Todo / Sprint Backlog					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Architecture Description	https://github.com/COS420-F25/TeamA/issues/70	Todo / Sprint Backlog					bdube21					D2	D2 Quality Checking Milestone
Architecture Design Rationale	https://github.com/COS420-F25/TeamA/issues/71	Todo / Sprint Backlog					DeveauJoshua2002					D2	
SRS Sections 1.1 - 1.5	https://github.com/COS420-F25/TeamA/issues/72	Todo / Sprint Backlog					AlexN-H					D2	D2 Quality Checking Milestone
SRS Sections 2.1 - 2.4	https://github.com/COS420-F25/TeamA/issues/73	Todo / Sprint Backlog					DeveauJoshua2002					D2	D2 Quality Checking Milestone
SRS Sections 2.5 - 2.7	https://github.com/COS420-F25/TeamA/issues/74	Todo / Sprint Backlog					brendonprice					D2	D2 Quality Checking Milestone
Improve and Revise UI Mockup 2	https://github.com/COS420-F25/TeamA/issues/75	Todo / Sprint Backlog					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Improve and Revise UI Mockup 1	https://github.com/COS420-F25/TeamA/issues/76	Todo / Sprint Backlog					AlexN-H					D2	D2 Quality Checking Milestone
Create UI Mockup 3	https://github.com/COS420-F25/TeamA/issues/77	Todo / Sprint Backlog					bdube21					D2	D2 Quality Checking Milestone
Split SRS Functional Requirements into Subsections	https://github.com/COS420-F25/TeamA/issues/78	Todo / Sprint Backlog					AlexN-H, bdube21					D2	D2 Quality Checking Milestone
SRS Section 6 Appendix A	https://github.com/COS420-F25/TeamA/issues/79	Todo / Sprint Backlog					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Application Dashboard Implementation	https://github.com/COS420-F25/TeamA/issues/80	Todo / Sprint Backlog					bdube21, DeveauJoshua2002					D2	D2 Quality Checking Milestone
