Title	URL	Status	Priority	Story Type	Estimate (Story Points)	Points Completed	Assignees	Contributors and % contribution	Quality Reviewer	Start date	End date (ready for QC by)	Deliverable / Sprint	Milestone
As a project manager, I want to prioritize page layout and UI interface to be clear and concise so that we don't ironically make the job search more overwhelming	https://github.com/COS420-F25/TeamA/issues/42	Done	High				bdube21, brendonprice, DeveauJoshua2002					D2	
Use Case Descriptions 1-3	https://github.com/COS420-F25/TeamA/issues/63	Quality Checking					AlexN-H					D2	D2 Quality Checking Milestone
Architecture Design Diagram	https://github.com/COS420-F25/TeamA/issues/69	Quality Checking					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Improve and Revise UI Mockup 1	https://github.com/COS420-F25/TeamA/issues/76	Quality Checking					AlexN-H					D2	D2 Quality Checking Milestone
Architecture Design Rationale	https://github.com/COS420-F25/TeamA/issues/71	Quality Checking					DeveauJoshua2002					D2	
Architecture Description	https://github.com/COS420-F25/TeamA/issues/70	Quality Checking					bdube21					D2	D2 Quality Checking Milestone
Use Case Diagram 2	https://github.com/COS420-F25/TeamA/issues/68	Quality Checking					AlexN-H					D2	D2 Quality Checking Milestone
Use Case Description 10-12	https://github.com/COS420-F25/TeamA/issues/66	Quality Checking					bdube21					D2	D2 Milestone
SRS Sections 1.1 - 1.5	https://github.com/COS420-F25/TeamA/issues/72	Quality Checking					AlexN-H					D2	D2 Quality Checking Milestone
Create UI Mockup 3	https://github.com/COS420-F25/TeamA/issues/77	Quality Checking					bdube21					D2	D2 Quality Checking Milestone
Split SRS Functional Requirements into Subsections	https://github.com/COS420-F25/TeamA/issues/78	Quality Checking					AlexN-H, bdube21					D2	D2 Quality Checking Milestone
Use Case Descriptions 7-9	https://github.com/COS420-F25/TeamA/issues/65	Quality Checking					brendonprice					D2	D2 Quality Checking Milestone
Use Case Diagram 1	https://github.com/COS420-F25/TeamA/issues/67	Quality Checking					brendonprice					D2	D2 Quality Checking Milestone
Use Case Descriptions 4-6	https://github.com/COS420-F25/TeamA/issues/64	60-90% done					DeveauJoshua2002					D2	D2 Quality Checking Milestone
SRS Sections 2.1 - 2.4	https://github.com/COS420-F25/TeamA/issues/73	Quality Checking					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Improve and Revise UI Mockup 2	https://github.com/COS420-F25/TeamA/issues/75	60-90% done					DeveauJoshua2002					D2	D2 Quality Checking Milestone
Application Login Implementation	https://github.com/COS420-F25/TeamA/issues/80	Todo / Sprint Backlog					bdube21, DeveauJoshua2002					D2	D2 Quality Checking Milestone
